articleName,articleTime,articleUrl,articleWriter
Особенности технологий в области международных грузовых транспортных услуг,2020 ,https://cyberleninka.ru/article//article/n/osobennosti-tehnologiy-v-oblasti-mezhdunarodnyh-gruzovyh-transportnyh-uslug, Кулешова Е.А.
Автоматическое распознавание автомобильных номерных знаков,2020 ,https://cyberleninka.ru/article//article/n/avtomaticheskoe-raspoznavanie-avtomobilnyh-nomernyh-znakov," Полтавский А. В., Юрушкина Т. Г., Юрушкин М. В."
Моделирование информационно-аналитической системы мониторинга производственной безопасности на основе экспертных оценок,2020 ,https://cyberleninka.ru/article//article/n/modelirovanie-informatsionno-analiticheskoy-sistemy-monitoringa-proizvodstvennoy-bezopasnosti-na-osnove-ekspertnyh-otsenok," Захарова О. А., Селихина А. В., Везиров Т. Г."
Разграничение понятий «Структурно-функционально-параметрическая модель» и «Параметрическая модель» информационных объектов знаний,2020 ,https://cyberleninka.ru/article//article/n/razgranichenie-ponyatiy-strukturno-funktsionalno-parametricheskaya-model-i-parametricheskaya-model-informatsionnyh-obektov-znaniy, Колыбенко Е. Н.
Автоматизация процесса многокритериального ранжирования студентов с помощью электронного портфолио,2019 ,https://cyberleninka.ru/article//article/n/avtomatizatsiya-protsessa-mnogokriterialnogo-ranzhirovaniya-studentov-s-pomoschyu-elektronnogo-portfolio," Пономарева Л.А., Ромашкова О.Н., Белякова А.Н., Заболотникова В.С."
Перспективы развития цифровой экономики в Республике Беларусь,2020 ,https://cyberleninka.ru/article//article/n/perspektivy-razvitiya-tsifrovoy-ekonomiki-v-respublike-belarus, Макарецкая Т. Д.
Научно-технологическое прогнозирование на базе прогрессивного морфологического подхода,2020 ,https://cyberleninka.ru/article//article/n/nauchno-tehnologicheskoe-prognozirovanie-na-baze-progressivnogo-morfologicheskogo-podhoda, Раков Д. Л.
Актуальные информационные угрозы ЕАЭС в системе обеспечения национальной и экономической безопасности,2020 ,https://cyberleninka.ru/article//article/n/aktualnye-informatsionnye-ugrozy-eaes-v-sisteme-obespecheniya-natsionalnoy-i-ekonomicheskoy-bezopasnosti," Прасолов В. И., Волконский В. А."
Результаты исследования геоинформационных систем в контексте инновационных технологий как среды визуализации и аналитической обработки данных в алгоритмах дополненной реальности,2020 ,https://cyberleninka.ru/article//article/n/rezultaty-issledovaniya-geoinformatsionnyh-sistem-v-kontekste-innovatsionnyh-tehnologiy-kak-sredy-vizualizatsii-i-analiticheskoy, Воронин А. В.
Построение комплекса информационных систем по инвестиционным проектам с применением компьютерной стеганографии и блокчейн-технологий для инновационного и научно-технологического развития регионов и отраслей,2020 ,https://cyberleninka.ru/article//article/n/postroenie-kompleksa-informatsionnyh-sistem-po-investitsionnym-proektam-s-primeneniem-kompyuternoy-steganografii-i-blokcheyn, Раткин Л. С.
Состояние и перспективы формирования единой информационной среды для аналитической работы при цифровой трансформации образования,2020 ,https://cyberleninka.ru/article//article/n/sostoyanie-i-perspektivy-formirovaniya-edinoy-informatsionnoy-sredy-dlya-analiticheskoy-raboty-pri-tsifrovoy-transformatsii," Меденников В. И., Сальников С. Г."
Триз в интеллектуальных системах выработки рекомендаций для управленческих решений,2020 ,https://cyberleninka.ru/article//article/n/triz-v-intellektualnyh-sistemah-vyrabotki-rekomendatsiy-dlya-upravlencheskih-resheniy," Рубин М. С., Щедрин Н. А."
Геоинформационная система как аналитический инструмент в системах принятия решений в контексте гуманитарно-технологического развития современного общества,2020 ,https://cyberleninka.ru/article//article/n/geoinformatsionnaya-sistema-kak-analiticheskiy-instrument-v-sistemah-prinyatiya-resheniy-v-kontekste-gumanitarno-tehnologicheskogo, Воронин А. В.
Типы цифровых платформ и их содержание,2020 ,https://cyberleninka.ru/article//article/n/tipy-tsifrovyh-platform-i-ih-soderzhanie, Гретченко А. А.
Цифровые документы как основа цифровой трансформации общества,2020 ,https://cyberleninka.ru/article//article/n/tsifrovye-dokumenty-kak-osnova-tsifrovoy-transformatsii-obschestva, Нестеров А. В.
Вопросы информационной безопасности в образовательных программах для цифровой экономики,2020 ,https://cyberleninka.ru/article//article/n/voprosy-informatsionnoy-bezopasnosti-v-obrazovatelnyh-programmah-dlya-tsifrovoy-ekonomiki, Зенченко С. А.
Анализ аварийности на автомобильной дороге международного значения Душанбе - Чанок до границы Республики Узбекистан за 2018 год,2020 ,https://cyberleninka.ru/article//article/n/analiz-avariynosti-na-avtomobilnoy-doroge-mezhdunarodnogo-znacheniya-dushanbe-chanok-do-granitsy-respubliki-uzbekistan-za-2018-god, Башиков Ином Турсунович
Использование информационных технологий в сфере туризма,2020 ,https://cyberleninka.ru/article//article/n/ispolzovanie-informatsionnyh-tehnologiy-v-sfere-turizma," Турдиева Гавхар Саидовна, Шоимов Адиз Садреддинович"
Информационная система для принятия решения применения беспилотных летательных аппаратов при обследовании воздушных линий электропередачи,2020 ,https://cyberleninka.ru/article//article/n/informatsionnaya-sistema-dlya-prinyatiya-resheniya-primeneniya-bespilotnyh-letatelnyh-apparatov-pri-obsledovanii-vozdushnyh-liniy, Корчагина Александра Павловна
Психиатрические и психотерапевтические аспекты оказания первичной специализированной помощи пострадавшим при пожарах в Воронежской области,2019 ,https://cyberleninka.ru/article//article/n/psihiatricheskie-i-psihoterapevticheskie-aspekty-okazaniya-pervichnoy-spetsializirovannoy-pomoschi-postradavshim-pri-pozharah-v," А. К. Зуйкова, Н. И. Бакулева, Т. П. Склярова"
Автоматизация учета средств защиты с применением информационных систем,2019 ,https://cyberleninka.ru/article//article/n/avtomatizatsiya-ucheta-sredstv-zaschity-s-primeneniem-informatsionnyh-sistem," Т. А. Кузьмина, С. В. Ильницкий, А. Е. Гайдукевич, А. И. Бобров"
Инновационные методы обеспечения пожарной безопасности на объектах хранения легких нефтепродуктов,2019 ,https://cyberleninka.ru/article//article/n/innovatsionnye-metody-obespecheniya-pozharnoy-bezopasnosti-na-obektah-hraneniya-legkih-nefteproduktov," С. В. Мальцев, К. А. Туполенко, Р. А. Рейман"
Выбора мер устранения угроз пожарной и промышленной безопасности,2019 ,https://cyberleninka.ru/article//article/n/vybora-mer-ustraneniya-ugroz-pozharnoy-i-promyshlennoy-bezopasnosti," А. В. Меньших, А. С. Князева"
Организация систем поддержки принятия решений в чрезвычайных ситуациях,2019 ,https://cyberleninka.ru/article//article/n/organizatsiya-sistem-podderzhki-prinyatiya-resheniy-v-chrezvychaynyh-situatsiyah," Л. М. Механтьева, В. П. Ильичев, Т. П. Склярова"
Применение метода обучения с подкреплением в робототизированных и автоматизированных системах лесной промышленности,2020 ,https://cyberleninka.ru/article//article/n/primenenie-metoda-obucheniya-s-podkrepleniem-v-robototizirovannyh-i-avtomatizirovannyh-sistemah-lesnoy-promyshlennosti," Толстых Андрей Андреевич, Ступников Дмитрий Сергеевич, Малюков Сергей Владимирович, Лукьянов Александр Сергеевич, Лунев Юрий Станиславович"
Особенности технологии TDMA в сетях связи и ее применение в ведомственных структурах,2019 ,https://cyberleninka.ru/article//article/n/osobennosti-tehnologii-tdma-v-setyah-svyazi-i-ee-primenenie-v-vedomstvennyh-strukturah," А. В. Попов, С. Л. Анисимов"
Моделирование системы связи и синхронизации двочиных фазоманипулированных сигналов с петлей фазовой автоподстройки (ФАП) в пакете прикладных программ Matlab Simulink,2019 ,https://cyberleninka.ru/article//article/n/modelirovanie-sistemy-svyazi-i-sinhronizatsii-dvochinyh-fazomanipulirovannyh-signalov-s-petley-fazovoy-avtopodstroyki-fap-v-pakete," Э. В. Спешилов, А. В. Оболонская"
Информационно-управляющая система на основе риск-ориентированного метода обеспечения пожарной безопасности субъекта Российской Федерации,2019 ,https://cyberleninka.ru/article//article/n/informatsionno-upravlyayuschaya-sistema-na-osnove-risk-orientirovannogo-metoda-obespecheniya-pozharnoy-bezopasnosti-subekta," С. Н. Терёхин, А. В. Вострых"
Особенности интеграции аналитики больших данных в аудиторские процедуры,2020 ,https://cyberleninka.ru/article//article/n/osobennosti-integratsii-analitiki-bolshih-dannyh-v-auditorskie-protsedury, Урусов Аслан Тимборович
Оперативное решение задач в условиях проведения аварийно-спасательных работ на химически-опасных объектах при возникновении чрезвычайных ситуаций,2019 ,https://cyberleninka.ru/article//article/n/operativnoe-reshenie-zadach-v-usloviyah-provedeniya-avariyno-spasatelnyh-rabot-na-himicheski-opasnyh-obektah-pri-vozniknovenii," В. М. Усков, С. Ю. Анисимов, О. Н. Болдырева"
Генетический алгоритм отбора признаков,2020 ,https://cyberleninka.ru/article//article/n/geneticheskiy-algoritm-otbora-priznakov, Д. В. Исаев
Применение машинного обучения для обнаружения запрещенных объектов,2020 ,https://cyberleninka.ru/article//article/n/primenenie-mashinnogo-obucheniya-dlya-obnaruzheniya-zapreschennyh-obektov, Зинченко Антон Викторович
Методы проведения платежей на мобильных платформах,2020 ,https://cyberleninka.ru/article//article/n/metody-provedeniya-platezhey-na-mobilnyh-platformah, Захаров Владислав Анатольевич
Сравнение возможностей платежных систем и сложности их интеграции и мобильное приложение,2020 ,https://cyberleninka.ru/article//article/n/sravnenie-vozmozhnostey-platezhnyh-sistem-i-slozhnosti-ih-integratsii-i-mobilnoe-prilozhenie, Захаров Владислав Анатольевич
Использование стандарта wsgi при разработке веб-приложений на Python,2020 ,https://cyberleninka.ru/article//article/n/ispolzovanie-standarta-wsgi-pri-razrabotke-veb-prilozheniy-na-python, Самородских Илья Леонидович
Анализ систем проведения сметных расчетов и подготовки сметной документации в строительстве,2020 ,https://cyberleninka.ru/article//article/n/analiz-sistem-provedeniya-smetnyh-raschetov-i-podgotovki-smetnoy-dokumentatsii-v-stroitelstve, Марчук Егор Станиславович
Автоматизация расчёта на прогрессирующее обрушение,2020 ,https://cyberleninka.ru/article//article/n/avtomatizatsiya-raschyota-na-progressiruyuschee-obrushenie, Евсин Роман Геннадьевич
Выбор решения для организации хранения и потоковой передачи видеоинформации для системы дистанционного обучения,2020 ,https://cyberleninka.ru/article//article/n/vybor-resheniya-dlya-organizatsii-hraneniya-i-potokovoy-peredachi-videoinformatsii-dlya-sistemy-distantsionnogo-obucheniya, Кисляков Григорий Дмитриевич
"ПРОЕКТ ""ЦИФРОВАЯ ВЕРФЬ"": СОЗДАНИЕ ЭКОСИСТЕМЫ ПРЕДПРИЯТИЯ ДЛЯ РАЗВИТИЯ ЦИФРОВОГО ПРОИЗВОДСТВА",2019 ,https://cyberleninka.ru/article//article/n/proekt-tsifrovaya-verf-sozdanie-ekosistemy-predpriyatiya-dlya-razvitiya-tsifrovogo-proizvodstva," Середохо В.А., Макеев С.М."
"Модель определения рациональных маршрутов эвакуации населения, материальных и культурных ценностей при возникновениии чрезвычайных ситуаций",2020 ,https://cyberleninka.ru/article//article/n/model-opredeleniya-ratsionalnyh-marshrutov-evakuatsii-naseleniya-materialnyh-i-kulturnyh-tsennostey-pri-vozniknoveniii," Воропаев Н.П., Савчук О.Н., Коротеев Д.Р."
Анализ результатов аудита сетевых информационных ресурсов МЧС России,2020 ,https://cyberleninka.ru/article//article/n/analiz-rezultatov-audita-setevyh-informatsionnyh-resursov-mchs-rossii," Буйневич М.В., Максимов А.В., Вострых А.В."
Сравнительный анализ программного обеспечения для изучения статистических методов контроля качества продукции,2019 ,https://cyberleninka.ru/article//article/n/sravnitelnyy-analiz-programmnogo-obespecheniya-dlya-izucheniya-statisticheskih-metodov-kontrolya-kachestva-produktsii," Кожанов Роман Вячеславович, Кожанова Евгения Романовна, Сорокина Любовь Александровна"
Concept of security social network architecture protecting confidentiality,2020 ,https://cyberleninka.ru/article//article/n/concept-of-security-social-network-architecture-protecting-confidentiality, Akhramovych V.
Машинная арифметика - тормоз в развитии computer science,2020 ,https://cyberleninka.ru/article//article/n/mashinnaya-arifmetika-tormoz-v-razvitii-computer-science, Вышинский В.А.
Машинные методы тематического моделирования коллекции учебных текстов на естественном языке,2020 ,https://cyberleninka.ru/article//article/n/mashinnye-metody-tematicheskogo-modelirovaniya-kollektsii-uchebnyh-tekstov-na-estestvennom-yazyke," Бабкина Наталья Сергеевна, Нугуманова Алия Багдатовна, Оскорбин Николай Михайлович, Половикова Ольга Николаевна, Смолякова Лариса Ленгардовна"
Реализация эффективных моделей классификации медицинских данных методами интеллектуального анализа текстовой информации,2020 ,https://cyberleninka.ru/article//article/n/realizatsiya-effektivnyh-modeley-klassifikatsii-meditsinskih-dannyh-metodami-intellektualnogo-analiza-tekstovoy-informatsii," Кротова Ольга Сергеевна, Москалев Игорь Викторович, Хворова Любовь Анатольевна, Назаркина Оксана Михайловна"
Оценка информативности признаков в модели прогнозирования трудоустройства выпускников,2020 ,https://cyberleninka.ru/article//article/n/otsenka-informativnosti-priznakov-v-modeli-prognozirovaniya-trudoustroystva-vypusknikov," Смыкова Наталья Владимировна, Авдеев Александр Сергеевич, Гунер Михаил Викторович"
Внедрение информационных систем в деятельность предприятий автомобильного бизнеса,2019 ,https://cyberleninka.ru/article//article/n/vnedrenie-informatsionnyh-sistem-v-deyatelnost-predpriyatiy-avtomobilnogo-biznesa," Гусев С.А., Омельченко С.В."
Выбор веб-стека для реализации цифровой среды предоставления транспортных услуг,2019 ,https://cyberleninka.ru/article//article/n/vybor-veb-steka-dlya-realizatsii-tsifrovoy-sredy-predostavleniya-transportnyh-uslug, Давыдовский Михаил Альбинович
Применение эволюционного моделирования для регенерации программного обеспечения,2019 ,https://cyberleninka.ru/article//article/n/primenenie-evolyutsionnogo-modelirovaniya-dlya-regeneratsii-programmnogo-obespecheniya, Матчин Василий Тимофеевич
Анализ тестирующих моделей и систем,2019 ,https://cyberleninka.ru/article//article/n/analiz-testiruyuschih-modeley-i-sistem, Рогов Игорь Евгеньевич
The methodology for modeling logistics systems: Implementation principles and Examples,2019 ,https://cyberleninka.ru/article//article/n/the-methodology-for-modeling-logistics-systems-implementation-principles-and-examples, Sherstennikov Yuriy V.
Специализатор JaSpe: алгоритм внутрипроцедурного анализа времени связывания программ на подмножестве языка Java,2020 ,https://cyberleninka.ru/article//article/n/spetsializator-jaspe-algoritm-vnutriprotsedurnogo-analiza-vremeni-svyazyvaniya-programm-na-podmnozhestve-yazyka-java," Адамович Игорь Алексеевич, Климов Юрий Андреевич"
Пакетный протокол взаимодействия программируемых логических интегральных схем,2020 ,https://cyberleninka.ru/article//article/n/paketnyy-protokol-vzaimodeystviya-programmiruemyh-logicheskih-integralnyh-shem," Адамович Игорь Алексеевич, Климов Юрий Андреевич"
An FPGA packet communication protocol,2020 ,https://cyberleninka.ru/article//article/n/an-fpga-packet-communication-protocol," Adamovich Igor Alekseevich, Klimov Yuri Andreevich"
Разработка алгоритмов анализа изображений вулканов для мониторинга опасных природных процессов и явлений,2020 ,https://cyberleninka.ru/article//article/n/razrabotka-algoritmov-analiza-izobrazheniy-vulkanov-dlya-monitoringa-opasnyh-prirodnyh-protsessov-i-yavleniy," Урманов Игорь Павлович, Сорокин Алексей Анатольевич, Королев Сергей Павлович, Мальковский Сергей Иванович"
Визуализация программного обеспечения на базе средств виртуальной реальности геопространственных данных. Обзор и перспективы разработки,2020 ,https://cyberleninka.ru/article//article/n/vizualizatsiya-programmnogo-obespecheniya-na-baze-sredstv-virtualnoy-realnosti-geoprostranstvennyh-dannyh-obzor-i-perspektivy," Авербух Владимир Лазаревич, Авербух Наталья Владимировна, Васёв Павел Александрович, Гвоздарев Илья Леонидович, Левчук Георгий Иванович, Мелкозёров Леонид Олегович"
Использование инструментальных методов для развития звукопроизносительных навыков на иностранном языке,2019 ,https://cyberleninka.ru/article//article/n/ispolzovanie-instrumentalnyh-metodov-dlya-razvitiya-zvukoproiznositelnyh-navykov-na-inostrannom-yazyke, Белоусова Владислава Олеговна
Реализация нейронной сети с помощью языка программирования Python,2020 ,https://cyberleninka.ru/article//article/n/realizatsiya-neyronnoy-seti-s-pomoschyu-yazyka-programmirovaniya-python," Альбовский Александр Владимирович, Егоров Никита Андреевич, Романюк Анастасия Георгиевна"
Алгоритм сопровождения людей на видеопоследовательностях с использованием свёрточных нейронных сетей для видеонаблюдения внутри помещений,2020 ,https://cyberleninka.ru/article//article/n/algoritm-soprovozhdeniya-lyudey-na-videoposledovatelnostyah-s-ispolzovaniem-svyortochnyh-neyronnyh-setey-dlya-videonablyudeniya," Богуш Рихард Петрович, Захарова Ирина Юрьевна"
Математика и практика инвариантов цветовых пространств на примере определения баланса по серому для цифровой печатной системы,2020 ,https://cyberleninka.ru/article//article/n/matematika-i-praktika-invariantov-tsvetovyh-prostranstv-na-primere-opredeleniya-balansa-po-seromu-dlya-tsifrovoy-pechatnoy-sistemy," Тарасов Дмитрий Александрович, Мильдер Олег Борисович"
Применение методов глубокого обучения для оценки степени коммерческой ценности визуальных объектов,2020 ,https://cyberleninka.ru/article//article/n/primenenie-metodov-glubokogo-obucheniya-dlya-otsenki-stepeni-kommercheskoy-tsennosti-vizualnyh-obektov," Ефремцев Вадим Григорьевич, Ефремцев Николай Григорьевич, Тетерин Евгений Петрович, Тетерин Петр Евгеньевич, Гансовский Владислав Викторович"
Threshold image target segmentation technology based on intelligent algorithms,2020 ,https://cyberleninka.ru/article//article/n/threshold-image-target-segmentation-technology-based-on-intelligent-algorithms," Cai Yanxia, Xu Yanyan, Zhang Tierui, Li Dandan"
Встроенные системы Arduino стремятся обезопасить IoT с платформой Dev,2020 ,https://cyberleninka.ru/article//article/n/vstroennye-sistemy-arduino-stremyatsya-obezopasit-iot-s-platformoy-dev," Кодиров Элмурод Солижон Угли, Умаров Хусниддин Турдали Угли, Мухаммаджонов Хожиакбар Зафаржон Угли"
Математическая модель процесса функционирования сети оперативно-технологической связи- IP при передаче редкоследующего потока данных,2020 ,https://cyberleninka.ru/article//article/n/matematicheskaya-model-protsessa-funktsionirovaniya-seti-operativno-tehnologicheskoy-svyazi-ip-pri-peredache-redkosleduyuschego," Халиков Абдульхак Абдульхаирович, Ураков Олимжон Хикматуллоевич"
Структурно-функциональные модели сельскохозяйственных гетерогенных роботов,2019 ,https://cyberleninka.ru/article//article/n/strukturno-funktsionalnye-modeli-selskohozyaystvennyh-geterogennyh-robotov," Нго К.Т., Нгуен В.В., Ронжин А.Л."
Разработка инновационного средства обучения,2019 ,https://cyberleninka.ru/article//article/n/razrabotka-innovatsionnogo-sredstva-obucheniya, Дьячковская Роза Ивановна
Моделирование процесса сушки полимерного покрытия оцинкованной полосы на основе физически обоснованной модели машинного обучения и анализа данных,2020 ,https://cyberleninka.ru/article//article/n/modelirovanie-protsessa-sushki-polimernogo-pokrytiya-otsinkovannoy-polosy-na-osnove-fizicheski-obosnovannoy-modeli-mashinnogo," Осколков Василий Михайлович, Варфоломеев Игорь Андреевич, Ершов Евгений Валентинович"
Разработка и применение нейро-нечетких сетей Петри,2020 ,https://cyberleninka.ru/article//article/n/razrabotka-i-primenenie-neyro-nechetkih-setey-petri," Суконщиков Алексей Александрович, Швецов Анатолий Николаевич, Улитин Анатолий Вячеславович"
Модель интеллектуального прогнозирования стресскоррозионной поврежденности магистральных газопроводов,2019 ,https://cyberleninka.ru/article//article/n/model-intellektualnogo-prognozirovaniya-stresskorrozionnoy-povrezhdennosti-magistralnyh-gazoprovodov," Кантюков Р.Р., Ряховских И.В., Мишарин Д.А."
Некоторые аспекты применения нейромаркетинга,2020 ,https://cyberleninka.ru/article//article/n/nekotorye-aspekty-primeneniya-neyromarketinga," Гималетдинов Камиль Валинурович, Гималетдинов Вильдан Камильевич"
Применение алгоритма midpoint-displacement в процедурной генерации ландшафтов,2020 ,https://cyberleninka.ru/article//article/n/primenenie-algoritma-midpoint-displacement-v-protsedurnoy-generatsii-landshaftov, Барсуков Алексей Валерьевич
Проблема детектирования объектов на изображениях сцены,2019 ,https://cyberleninka.ru/article//article/n/problema-detektirovaniya-obektov-na-izobrazheniyah-stseny," Харинов М.В., Толстой И.М."
Сравнение программного обеспечения для разработки пользовательских интерфейсов и их прототипирования,2020 ,https://cyberleninka.ru/article//article/n/sravnenie-programmnogo-obespecheniya-dlya-razrabotki-polzovatelskih-interfeysov-i-ih-prototipirovaniya, Соловьева Александра Анатольевна
Анализ стандартов и инструментальных средств для интеграции системы электронного документооборота в систему управления предприятием,2020 ,https://cyberleninka.ru/article//article/n/analiz-standartov-i-instrumentalnyh-sredstv-dlya-integratsii-sistemy-elektronnogo-dokumentooborota-v-sistemu-upravleniya, Данекина Виктория Владимировна
МАССОВАЯ ОЦЕНКА ОБЪЕКТОВ НЕДВИЖИМОСТИ НА ОСНОВЕ ТЕХНОЛОГИЙ МАШИННОГО ОБУЧЕНИЯ. АНАЛИЗ ТОЧНОСТИ РАЗЛИЧНЫХ МЕТОДОВ НА ПРИМЕРЕ ОПРЕДЕЛЕНИЯ РЫНОЧНОЙ СТОИМОСТИ КВАРТИР,2020 ,https://cyberleninka.ru/article//article/n/massovaya-otsenka-obektov-nedvizhimosti-na-osnove-tehnologiy-mashinnogo-obucheniya-analiz-tochnosti-razlichnyh-metodov-na-primere," Лейфер Лев Абрамович, Чёрная Е.В."
К методике оценки защиты информации,2020 ,https://cyberleninka.ru/article//article/n/k-metodike-otsenki-zaschity-informatsii," Рыбалкин Олег Денисович, Ромашко Борис Владимирович"
Исследование профиля уязвимостей авиационного персонала к социоинженерным атакам,2020 ,https://cyberleninka.ru/article//article/n/issledovanie-profilya-uyazvimostey-aviatsionnogo-personala-k-sotsioinzhenernym-atakam," Волков Александр Константинович, Волков Андрей Константинович, Фролова Лидия Ивановна"
Identification of system models from potential-stream equations on the basis of deep learning on experimental data,2020 ,https://cyberleninka.ru/article//article/n/identification-of-system-models-from-potential-stream-equations-on-the-basis-of-deep-learning-on-experimental-data," Starostin Igor E., Khalyutin Sergey P."
Аналитический обзор методов распознавания эмоций по выражениям лица человека,2020 ,https://cyberleninka.ru/article//article/n/analiticheskiy-obzor-metodov-raspoznavaniya-emotsiy-po-vyrazheniyam-litsa-cheloveka," Рюмина Е.В., Карпов А.А."
Анализ протокола MQTT на атаки «Отказ в обслуживании»,2020 ,https://cyberleninka.ru/article//article/n/analiz-protokola-mqtt-na-ataki-otkaz-v-obsluzhivanii, Дикий Д.И.
Методы поиска аномальных активностей веб-приложений,2020 ,https://cyberleninka.ru/article//article/n/metody-poiska-anomalnyh-aktivnostey-veb-prilozheniy," Михеева О.И., Гатчин Ю.А., Савков С.В., Хамматова Р.М., Нырков А.П."
Тестирование многопоточных приложений с блокировками на неатомарных переменных,2020 ,https://cyberleninka.ru/article//article/n/testirovanie-mnogopotochnyh-prilozheniy-s-blokirovkami-na-neatomarnyh-peremennyh," Доронин О.В., Дергун К.И., Дергачев А.М., Ильина А.Г., Горлач С.П."
Применение искусственного интеллекта в обеспечении безопасности данных,2020 ,https://cyberleninka.ru/article//article/n/primenenie-iskusstvennogo-intellekta-v-obespechenii-bezopasnosti-dannyh, Афанасьева Дарья Владимировна
Метод прогнозирования интенсивности обнаружения ошибок функционирования системы в процессе ее отладки,2020 ,https://cyberleninka.ru/article//article/n/metod-prognozirovaniya-intensivnosti-obnaruzheniya-oshibok-funktsionirovaniya-sistemy-v-protsesse-ee-otladki," Кочанов Игорь Анатольевич, Смирнов Алексей Вадимович"
"Применение концепции ""туманных"" вычислений при проектировании высоконадежных информационно-управляющих систем",2020 ,https://cyberleninka.ru/article//article/n/primenenie-kontseptsii-tumannyh-vychisleniy-pri-proektirovanii-vysokonadezhnyh-informatsionno-upravlyayuschih-sistem," Мельник Эдуард Всеволодович, Клименко Анна Борисовна"
Защита информации в образовательных учреждениях,2020 ,https://cyberleninka.ru/article//article/n/zaschita-informatsii-v-obrazovatelnyh-uchrezhdeniyah," Ходжаева Дамира Фарходовна, Омонов Алишер Ахмадович, Курбанова Шахноза Мавляновна"
Применение среды визуального программирования Dynamo при разработке проекта здания в autodesk Revit,2020 ,https://cyberleninka.ru/article//article/n/primenenie-sredy-vizualnogo-programmirovaniya-dynamo-pri-razrabotke-proekta-zdaniya-v-autodesk-revit," Смакаев Равиль Маратович, Низина Татьяна Анатольевна"
ЭЛЕКТРОННЫЙ ДОКУМЕНТООБОРОТ В БУХГАЛТЕРСКОМ УЧЕТЕ,2019 ,https://cyberleninka.ru/article//article/n/elektronnyy-dokumentooborot-v-buhgalterskom-uchete," Игнатенко Наталья Сергеевна, Крохичева Галина Егоровна"
Распределенные вычисления с использованием элементов концепции туманных вычислений в коалициях роботов в условиях ограниченных коммуникаций,2020 ,https://cyberleninka.ru/article//article/n/raspredelennye-vychisleniya-s-ispolzovaniem-elementov-kontseptsii-tumannyh-vychisleniy-v-koalitsiyah-robotov-v-usloviyah, Иванов Донат Яковлевич
Проблема автоматической идентификации ложных псевдонимов пользователей сети как элемент противодействия виктимному поведению индивида,2020 ,https://cyberleninka.ru/article//article/n/problema-avtomaticheskoy-identifikatsii-lozhnyh-psevdonimov-polzovateley-seti-kak-element-protivodeystviya-viktimnomu-povedeniyu," Клименко Анна Борисовна, Сафроненкова Ирина Борисовна"
Структура программных средств для агентно-ориентированного моделирования с использованием GPU в области общественных наук,2020 ,https://cyberleninka.ru/article//article/n/struktura-programmnyh-sredstv-dlya-agentno-orientirovannogo-modelirovaniya-s-ispolzovaniem-gpu-v-oblasti-obschestvennyh-nauk," Мельник Эдуард Всеволодович, Остроухов Андрей Юрьевич, Пуха Иван Сергеевич, Родина Арина Алексеевна"
Распознавание агрессивных действий с использованием нейросетевых архитектур 3d-cnn,2020 ,https://cyberleninka.ru/article//article/n/raspoznavanie-agressivnyh-deystviy-s-ispolzovaniem-neyrosetevyh-arhitektur-3d-cnn, Уздяев Михаил Юрьевич
Методологические аспекты применения нейронных сетей для охраны объектов,2020 ,https://cyberleninka.ru/article//article/n/metodologicheskie-aspekty-primeneniya-neyronnyh-setey-dlya-ohrany-obektov," Костин Сергей Викторович, Сотников Александр Александрович, Мишин Дмитрий Станиславович"
Методика определения необходимого количества арендуемых цифровых потоков для защиты от информационно-технических воздействий,2020 ,https://cyberleninka.ru/article//article/n/metodika-opredeleniya-neobhodimogo-kolichestva-arenduemyh-tsifrovyh-potokov-dlya-zaschity-ot-informatsionno-tehnicheskih-vozdeystviy," Добрышин Михаил Михайлович, Шугуров Дмитрий Евгеньевич, Локтионов Александр Дмитриевич"
Концепция управления цифровым жизненным циклом продуктов с применением аппарата параллельных стохастических расписаний,2020 ,https://cyberleninka.ru/article//article/n/kontseptsiya-upravleniya-tsifrovym-zhiznennym-tsiklom-produktov-s-primeneniem-apparata-parallelnyh-stohasticheskih-raspisaniy," Ларкин Евгений Васильевич, Привалов Александр Николаевич, Богатырева Юлия Игоревна"
Системный анализ технологического процесса горячей прокатки стальной полосы,2020 ,https://cyberleninka.ru/article//article/n/sistemnyy-analiz-tehnologicheskogo-protsessa-goryachey-prokatki-stalnoy-polosy," Полякова Марина Андреевна, Ширяева Елена Николаевна, Налимова Марина Викторовна"
К вопросу о комплексировании навигационной информации в двухканальной гибридной навигационной системе,2020 ,https://cyberleninka.ru/article//article/n/k-voprosu-o-kompleksirovanii-navigatsionnoy-informatsii-v-dvuhkanalnoy-gibridnoy-navigatsionnoy-sisteme-1," Норсеев Сергей Александрович, Буров Дмитрий Алексеевич, Тютюгин Дмитрий Юрьевич"
Прототипирование бортовой экспертной системы,2020 ,https://cyberleninka.ru/article//article/n/prototipirovanie-bortovoy-ekspertnoy-sistemy," Бабиченко Андрей Викторович, Шевадронов Александр Сергеевич, Воробьев Александр Анатольевич, Елесин Илья Алексеевич, Тектов Матвей Викторович, Кожин Владислав Романович"
